French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
car,because
chaque,each
parlé,speak
devrait,should
heures,hours
vont,will
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
étaient,were
pourrais,could
affaire,case
leurs,their
donné,given
corps,body
endroit,place
premier,first
perdu,lost
main,hand
côté,side
sois,be
enfant,child
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
droit,law
mari,husband
eau,water
attendez,Wait
boulot,job
terre,Earth
compte,account
donne,given
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
